Image,PixelCount,MeanTb,MinTb,MedianTb,CenterX,CenterY,MinRadius,MaxRadius,MeanRadius,CloudTopHeight
dummy_image_0.png,4,17.5,1.0,19.0,0.75,1.0,0.25,1.03,0.77,57.8
dummy_image_0.png,3,41.33,23.0,23.0,7.0,0.0,0.0,1.0,0.67,53.4
dummy_image_0.png,1,42.0,42.0,42.0,12.0,0.0,0.0,0.0,0.0,49.6
dummy_image_0.png,3,53.67,7.0,58.0,17.0,0.0,0.0,1.0,0.67,56.6
dummy_image_0.png,1,58.0,58.0,58.0,22.0,0.0,0.0,0.0,0.0,46.4
dummy_image_0.png,9,64.67,28.0,56.0,25.56,0.56,0.71,2.51,1.46,52.4
dummy_image_0.png,1,86.0,86.0,86.0,35.0,0.0,0.0,0.0,0.0,40.8
dummy_image_0.png,4,61.0,19.0,65.0,38.0,0.25,0.25,1.03,0.77,54.2
dummy_image_0.png,2,85.5,78.0,85.5,47.0,0.5,0.5,0.5,0.5,42.4
dummy_image_0.png,5,54.6,26.0,60.0,51.4,0.2,0.45,1.61,1.0,52.8
dummy_image_0.png,6,48.83,13.0,40.5,56.5,1.0,0.5,1.8,1.14,55.4
dummy_image_0.png,9,50.56,17.0,51.0,61.11,1.56,0.46,2.62,1.66,54.6
dummy_image_0.png,2,60.0,47.0,60.0,4.5,1.0,0.5,0.5,0.5,48.6
dummy_image_0.png,3,62.0,19.0,82.0,10.0,1.0,0.0,1.0,0.67,54.2
dummy_image_0.png,1,87.0,87.0,87.0,13.0,1.0,0.0,0.0,0.0,40.6
dummy_image_0.png,1,86.0,86.0,86.0,15.0,1.0,0.0,0.0,0.0,40.8
dummy_image_0.png,1,41.0,41.0,41.0,20.0,1.0,0.0,0.0,0.0,49.8
dummy_image_0.png,16,40.31,1.0,29.5,31.0,2.44,0.56,3.33,1.92,57.8
dummy_image_0.png,3,80.0,74.0,82.0,35.67,1.67,0.47,0.75,0.65,43.2
dummy_image_0.png,1,46.0,46.0,46.0,42.0,1.0,0.0,0.0,0.0,48.8
